Depression and anxiety,Life satisfaction,Self-esteem,Subjective happiness,Loneliness,Greenspace use (frequency),Greenspace use (duration),Nature view,Sex,Age,Income,Impact of COVID-19 on income,Number of working days,Number of children,Presence of a pet,Frequency of drinking alcohol,Frequency of smoking,Housing type
0,13,36,25,37,8,1.5,1,female,72,1,4,0,0,0,3,0,rented_flat
8,15,22,17,50,0,0,1,female,54,6,4,5,0,0,0,0,owned_flat
5,4,27,16,49,0,0,0,male,41,2,4,5,0,0,0,7,rented_flat
10,10,29,19,43,0,0,1,female,65,1,2,7,0,0,4,0,rented_flat
12,13,17,10,54,0,0,1,female,63,4,4,0,0,0,0,0,owned_flat
0,8,31,22,40,0,0,1,male,70,4,3,5,0,0,4,0,rented_flat
5,14,40,22,30,0,0,1,male,72,2,4,0,1,0,0,0,owned_flat
4,11,26,15,51,0,0,0,male,55,4,4,5,0,0,7,7,owned_house
12,10,22,19,49,0,0,1,female,72,3,4,2,0,0,0,0,owned_flat
6,11,25,16,49,0,0,1,female,56,3,3,5,0,0,7,0,owned_flat
0,12,36,22,36,2,1.5,1,male,69,5,4,7,0,0,6,0,owned_house
0,10,28,17,39,0,0,1,male,57,2,4,6,0,0,7,7,owned_house
1,11,30,17,55,0,0,1,male,61,5,4,5,0,0,0,0,owned_house
2,18,32,24,27,3,1.5,1,female,71,3,4,0,0,0,7,0,owned_house
12,11,12,16,75,30,7,1,male,67,6,4,5,0,0,7,0,rented_house
0,16,37,22,49,0,0,1,male,77,1,4,0,1,0,7,0,owned_house
0,16,30,22,50,3,0.5,0,female,52,2,3,5,0,0,7,0,rented_flat
6,11,22,16,36,0,0,0,female,61,1,4,0,0,0,5,0,owned_house
0,11,28,19,51,0,0,1,male,72,2,4,0,0,1,7,0,owned_house
12,5,27,16,69,0,0,1,male,57,1,2,7,0,0,4,0,owned_house
5,8,25,16,68,0,0,1,female,62,1,4,0,0,0,0,0,rented_flat
1,12,37,25,29,0,0,1,female,52,5,4,5,0,0,0,0,owned_flat
0,12,32,24,31,4,3,1,male,55,6,4,5,0,0,7,0,owned_house
3,13,31,24,31,4,0.5,1,male,60,5,4,5,3,1,4,0,owned_flat
9,15,21,14,52,1,0.5,0,female,39,1,3,5,0,0,0,0,rented_flat
1,13,25,14,50,0,0,1,male,57,4,4,5,0,0,6,0,owned_house
4,19,28,18,51,0,0,1,male,60,1,4,0,0,0,3,7,owned_flat
5,17,25,16,50,0,0,0,female,43,1,1,2,0,1,0,7,rented_flat
1,13,26,20,42,0,0,1,male,61,3,4,7,0,0,5,0,owned_flat
0,10,30,21,37,2,0.5,1,female,72,4,4,0,0,0,0,0,owned_flat
5,16,25,25,38,1,3,1,female,55,5,4,0,0,0,1,0,owned_house
3,12,28,21,40,0,0,1,male,42,4,4,5,0,0,5,0,other
6,12,28,16,50,0,0,0,male,50,2,2,4,0,1,7,7,owned_house
